international_id,helmet_brand,tape_color,pregame_music_genre,locker_room_role,training_pct,uses_tinted_visor,left_skate_first,brings_backup_stick,morning_skate_attended,hydration_pct,pass_drill_success_pct,0x676f6c64656e5f7469707073,video_review_completion_pct,extra_sticks_packed,warmup_laps,bus_seat_number,autographs_signed_week,skate_hollow_inches,avg_shoot_speed,shot_power_score,sleep_hours_before_game,stick_blade_curve_mm,travel_fatigue_score,recovery_balance_minutes,selection_probability
1,TRUE,black,electronic,mentor,64.807142,0,1,1,1,81.78,47.28,xray,83.77,0,7,36,9,0.419,91.74,62.09,4.86,17.06,-5.41,-58,0.814629
2,CCM,green,electronic,quiet,60.258916,1,0,1,1,56.75,71.46,foxtrot,41.19,2,4,20,7,0.718,94.18,65.02,6.54,12.3,-1.56,-81,0.898043
3,TRUE,white,country,joker,29.876669,0,1,1,1,90.68,78.72,whiskey,36.82,4,2,47,2,0.573,80.46,48.55,6.83,9.91,-1.57,-143,0.472083
4,TRUE,white,electronic,hype,41.177986,1,1,1,1,83.21,81,lima,41.95,4,7,25,5,0.586,90.87,61.04,7.94,6.72,-3.19,-15,0.262367
5,TRUE,white,country,quiet,67.248762,0,0,1,1,63.13,45.84,tango,50.77,2,1,9,3,0.907,81.37,49.64,6.39,8.03,-0.76,-45,0.951979
6,TRUE,black,pop,quiet,50.494823,0,0,1,0,70.8,66.28,victor,18.86,2,1,43,2,0.725,94.08,64.9,6.54,4.9,-1.12,-153,0.927759
7,Sherwood,blue,country,joker,,0,1,0,1,80.33,67.59,papa,69.26,3,6,25,5,0.999,84.84,53.81,5.79,16.84,-6.68,-30,0.943495
8,Sherwood,white,rock,quiet,28.662456,0,0,0,0,83.94,35.69,zulu,14.17,0,7,33,5,0.628,78.15,45.78,9.02,6.57,-1.81,-32,0.431149
9,CCM,black,rock,quiet,27.326114,0,1,1,1,51.91,63.45,juliett,31.22,5,2,2,9,0.46,73.08,39.7,7.25,7.13,-4.77,-92,0.419445
10,Bauer,white,country,joker,50.933166,0,0,1,1,57.62,61.45,xray,45.02,5,5,5,4,0.702,82.97,51.56,9.33,6.46,-3.82,-76,0.34324
11,Bauer,red,rock,mentor,59.868641,0,0,0,0,98.95,57.09,mike,91.95,0,6,2,4,0.436,86.26,55.51,6.64,4.72,-0.9,-95,0.899699
12,CCM,blue,pop,joker,50.065754,0,1,1,1,57.7,81.66,bravo,59.64,4,1,53,6,0.843,76.18,43.42,8.01,4.12,-1.83,-6,0.548475
13,Bauer,white,pop,planner,54.416683,0,0,1,1,54.07,86.52,hotel,35.58,3,6,6,2,0.544,79.43,47.32,6.87,7.14,-5.33,-119,0.871432
14,TRUE,black,country,hype,,1,1,1,1,66.4,55.6,bravo,33.99,2,6,40,6,0.651,79.12,46.94,9.59,9.47,-5.55,-37,0.582732
15,TRUE,black,pop,joker,55.811565,0,1,1,0,86.43,60.14,kilo,61.35,5,5,32,4,0.465,70.09,36.11,6.11,13.41,-0.87,-126,0.084965
16,CCM,blue,electronic,quiet,44.049339,0,0,0,0,50.58,48.39,lima,48.04,5,2,30,7,0.575,77.01,44.41,9.11,11.91,-2.06,-18,0.535264
17,TRUE,blue,rock,quiet,46.742535,0,1,1,1,63.86,84.64,lima,29.42,5,5,21,8,0.584,87.4,,8.52,6.7,-1.47,-131,0.272094
18,Warrior,red,pop,joker,65.523412,0,1,1,0,48.71,59.17,alpha,76.78,0,3,2,8,0.939,81.19,49.43,7,9.55,-0.45,-85,0.633472
19,CCM,green,pop,mentor,43.87756,0,0,1,1,55.06,52.33,india,73.79,5,5,2,5,0.931,80.61,48.73,7.48,4.36,-4.34,-6,0.982532
